poem_name,poet_name,poem_text,rank
Adına,Özdemir Asaf,"ADINA
Gece, denize yanaştım.
O, sulardan geliyordu.
Duydum. 
Ne iyi, dedim.
Baktım, 
O, bir gemide geçiyordu.
Bağırdım. 
Gel'siz, gitme'siz.
Döndüm çakıllara sordum,
Siz kimdensiniz.
Dediler durandan, 
Bizi yakın edenden.
Denizi sorguya çektim.
Dedim, 
Görüyor musun yaşadığımı..
Yetinemedim.
Tuttum yakaladım kendimi
Getirdim gözlerinize serdim.
Durdum, size soruyorum.. 
Yaşadığımı görüyor musunuz.
Yaşadığımı 
Görüyor 
Musunuz.",264
Anadolu,Ahmed Arif,"Beşikler vermişim Nuh'a
Salıncaklar, hamaklar, 
Havva Ana'n dünkü çocuk sayılır, 
Anadoluyum ben, 
Tanıyor musun? 
Utanırım, 
Utanırım fıkaralıktan, 
Ele, güne karşı çıplak...
Üşür fidelerim, 
Harmanım kesat.
Kardeşliğin, çalışmanın, 
Beraberliğin, 
Atom güllerinin katmer açtığı, 
Şairlerin, bilginlerin dünyalarında,        
Kalmışım bir başıma, 
Bir başıma ve uzak.
Biliyor musun? 
Binlerce yıl sağılmışım, 
Korkunç atlılarıyla parçalamışlar
Nazlı,....................",265
Belma Sebil,Attila İlhan,"seni ben kallavi sokağı'nda gördüm
sen beni görmedin görmedin
kapıları çaldım adını sordum
söylemediler öğrenemedim
seni ben kallavi sokağı'nda gördüm
bir daha görmedim bil....................",266
Ayşen,Cemal Safi,"İklimler çileme çare bulmuyor. 
Mevsimler halimi sormuyor Ayşen... 
Sakiler derdime derman olmuyor. 
ŞarkIlar yaramI sarmIyor Ayşen... 
İlkbahar, yaz derken hazanım soldu. 
Murada ermeden miyadIm doldu. 
Kalb gözüm, ellere bakar kör oldu. 
Senden başkasını görmüyor Ayşen... 
Hasretin tüketti bütün varımı, 
Seraba döndürdü hülyalarımı, 
Ne kadar süslesen rüyalarımı, 
Sabahlar hayıra yormuyor Ayşen... 
Ağlarsan, matemin yağar geceme, 
Gülersen, mehtabın doğar geceme,; 
Lale devri geldi gönül bahçeme, 
Senden gayri çicek girmiyor Ayşen... 
Kapattın gönlümün sevinç yönünü, 
Ümidim görmüyor sensiz önünü, 
Takvimler bilmiyor dönüş gününü, 
Saatler vuslatI vurmuyor, Ayşen... 
Feleğe isyanım arttı gitgide, 
Gençliğim su gibi aktı gitti de, 
Ömrümü ellere sebil etti de, 
Bana bir damlanı vermiyor Ayşen... 
Ardından çilemem, çağlamam diye, 
Yas tutup karalar bağlamam diye, 
Kaç kez and içtiler ağlamam diye, 
Gözlerim sözünde durmuyor Ayşen... 
Ey alev yanaklım, volkan dudaklım, 
Ne bir hilafım var, ne gizlim, ne de saklım, 
Her şeye erdi de zavallı aklım, 
Seni unutmaya ermiyor Ayşen... 
DostlarIm namıma Ferhat dese de, 
Ruhum aşk elinden imdat dese de, 
Kör şeytan resmini yırt at dese de, 
Ellerim bir türlü varmıyor Ayşen",267
Adsız Şiirler,Özdemir Asaf,"Ben size ne yaptım
Çağrı mı, armağan mı, ceza mı
Ne vardı böyle karşıma geçecek
Ben ne yazılar ne çizgiler yitirdim hatırlamadım
Ne var ki sizinki onlar gibi gitmeyecek
Artık olan oldu
Gitmeniz gitmeseniz bir
Ben de düş kursam da kurmasam da
Aklıma yüzünüz gelecektir
Ben size ne yaptım, 
Ne kötülüğüm dokundu size
İnanın - hoş niçin inanacaksınız-
Sizi şu ana kadar tanımazdım
İnanmak, bilmek yakışmaz size
Karşıma çıkmayacaktınız.
Karşımda bir resim gibi şimdi
Kurmadığım düşlerin çizdiği, siz
Hem gözüme hem düşünceme 
Çakılıp kaldınız
Renklerinize ve biçimlerinize
Düş dışı gerçeklerin çizdiği siz
Beni benden çıkardınız
Beni benden aldınız
Göz görmeye-görmeye
Bir uzağa bıraktınız
Kendime dönmeye artık çok geç.",268
Anahtar,Özdemir Asaf,"Konuşmak susmanın kokusudur.
Ya sus-git, ya konuş-gel, ortalarda kalma.
Yalan korkaklığın tortusudur.
Dürüst kaba ol, eğreti saygılı olma.",269
Ayrılış,Orhan Veli Kanık,"Bakakalırım giden geminin ardından;
Atamam kendimi denize, dünya güzel;
Serde erkeklik var, ağlayamam.",270
Bağlı,Özdemir Asaf,"Beni öyle bir yalana inandır ki,
Ömrümce sürsün doğruluğu.",271
Bereket Versin,Can Yücel,"Yaşama bir gitardır
Tellerine vurdukça yediveren
Güneş nasıl doğarsa
Ve yeşil ne kadar solaksa
Saksofon ne kadar benziyorsa asma kabaklarına
Bir sebzevat kokusu sarıyor ortalığı 
Sanki sırık tomatları biz kızardık diyorlar
Santana çaldıkça
Kurbağalar ötüyor tosbağalar yürüyor
Beni bir bostana gömün
Gübre olmak istiyorum",272
Ahu Gözlüm..,Cemal Safi,"Ahu gözlüm böyle oyun
Duydum desem yalan olur.
Senden gayrı yare boyun
Eğdim desem yalan olur.
Erdim aşkın değerine, 
Yandım derinden derine, 
Seni bin leyla yerine, 
Koydum desem yalan olur.
Akışlarda bu coşkuyu, 
Nakışlarda bu dokuyu, 
Çiçeklerde bu kokuyu, 
Duydum desem yalan olur.
Vazgeç artık şu kuşkundan, 
Ne umarsın bu şaşkından, 
Ecel gelse yar aşkından, 
Caydım desem yalan olur.
Aciz olmak ne beter şey, 
Gene yoksun geldi hey hey, 
Her bakışın bir kadeh mey, 
Aydım desem yalan olur.
Dile kolay yedi sene, 
Son diyorsun öl desene, 
Yedi veren gül busene, 
Doydum desem yalan olur.",273
Hakkın Sesleri / Gitme Ey Yolcu,Mehmet Akif Ersoy,"“İşte sana, onların kendi yolsuzlukları yüzünden ıpıssız kalan yurtları! ..”
(Kur’an, Neml, 52)
Geçenler varsa İslâm’ın şu çiğnenmiş diyârından; 
Şu yüz binlerce yurdun kanlı, zâirsiz mezârından; 
Yürekler parçalar bir nevha dinler reh-güzârından.
Bu mâtem, kim bilir, kaç münkesir kalbin gubârından
Hurûş etmekte, son ümmîdinin son inkisârından? 
Evet, son inkisârından ki yoktur cebrin imkânı:
Batıp gitmiş nazarlar beklemekten fecr-i nâzânı! 
Nasıl, ey yolcu, bin lâ’net gelip ezmez ki vicdânı; 
Dudaklar, çâk çâk olmuş, içerken zehr-i hüsrânı,
Uzaktan baktı -koşmak nerde! - milyonlarca yârânı! 
Bu ıssız âşiyanlar bir zaman candan muazzezdi; 
Bu damlar böyle baykuş seslerinden çın çın ötmezdi; 
Şu kurbağalar seken vâdîde ceylânlar koşup gezdi; 
Şu coşmuş, ağlayan ırmak ne handan gölgeler sezdi; 
Bütün mâzîyi bir tûfan, fakat, hep boğdu, hem ezdi! 
Vefâsız yurd! Öz evlâdın için olsun, vefâ yok mu? 
Neden kalbin kararmış? Bin ocaktan bir ziyâ yok mu? 
İlâhî kimsesizlikten bunaldım, âşinâ yok mu? 
Vatansız, hânümansız bir garîbim... Mültecâ yok mu? 
Bütün yokluk mu her yer? Bâri bir “Yok! ” der sadâ yok mu? 
* * *
Gitme ey yolcu, berâber oturup ağlaşalım:
Elemim bir yüreğin kârı değil, paylaşalım:
Ne yapıp ye’simi kahreyleyeyim, bilmem ki? 
Öyle dehşetli muhîtimde dönen mâtem ki! ..
Ah! Karşımda vatan nâmına bir kabristan
Yatıyor şimdi... Nasıl yerlere geçmez insan? 
Şu mezarlar ki uzanmış gidiyor, ey yolcu,
Nereden başladı yükselmeye, bak, nerde ucu! 
Bu ne hicrân-ı müebbed, bu ne hüsrân-ı mübîn...
Ezilir rûh-i semâ, parçalanır kalb-i zemin! 
Azıcık kurcala toprakları, seyret ne çıkar:
Dipçik altında ezilmiş, paralanmış kafalar! 
Bereden reng-i hüviyyetleri uçmuş yüzler! 
Kim bilir hangi şenâatle oyulmuş gözler! 
“Medeniyyet” denilen vahşete lâ’netler eder.
Nice yekpâre kesilmiş de sırıtmış dişler! 
Süngülenmiş, kanı donmuş, nice binlerle beden! 
Nice başlar, nice kollar ki cüdâ cisminden! 
Beşiğinden alınıp parçalanan mahlûkat; 
Sonra, nâmûsuna kurbân edilen bunca hayat! 
Bembeyaz saçları katranlara batmış dedeler! 
Göğsü baltayla kırılmış memesiz vâlideler! 
Teki binlerce kesik gövdeye âid kümeler:
Saç, kulak, el, çene, parmak... Bütün enkâz-ı beşer! 
Bakalım, yavrusu uğrar mı, deyip, karnından,
Canavarlar gibi şişlerde kızarmış nice can! 
İşte bunlar o felâket-zedelerdir ki, düşün,
Kurumuş ot gibi doğrandı bıçaklarla bütün! 
Müslümanlıkları bîçârelerin öyle büyük
Bir cinâyet ki: Cezâlar ona nisbetle küçük! 
Ey, bu toprakta birer na’ş-ı perîşan bırakıp,
Yükselen mevkib-i ervâh! Sakın arza bakıp; 
Sanmayın: Şevk-ı şehâdetle coşan bir kan var...
Bizde leşten daha hissiz, daha kokmuş can var! 
Bakmayın, hem tükürün çehre-i murdârımıza! 
Tükürün: Belki biraz duygu gelir ârımıza! 
Tükürün cebhe-i lâkaydına Şark’ın, tükürün! 
Kuşkulansın, görelim, gayreti halkın, tükürün! 
Tükürün milleti alçakça vuran darbelere! 
Tükürün onlara alkış dağıtan kahbelere! 
Tükürün Ehl-i Salîb’in o hayâsız yüzüne! 
Tükürün onların aslâ güvenilmez sözüne! 
Medeniyyet denilen maskara mahlûku görün:
Tükürün maskeli vicdânına asrın, tükürün! 
Hele i’lânı zamanında şu mel’un harbin,
“Bize efkâr-ı umûmiyyesi lâzım Garb’ın; 
O da Allah’ı bırakmakla olur” herzesini,
Halka îman gibi telkîn ile, dînin sesini
Susturan aptalın idrâkine bol bol tükürün! ..
Yine hicrân ile çılgınlığım üstümde bugün...
Bana vahdet gibi bir yâr-ı müsâid lâzım! 
Artık ey yolcu bırak... Ben, yalınız ağlayayım! 
22 Safer 1331
17 Kânûnisânî 1328
(30 Ocak 1913)",274
Kuvâyi Milliye-Beşinci Bap,Nazım Hikmet Ran,"920'NİN 16 MARTI 
ve 
MANASTIRLI HAMDİ EFENDİ 
ve 
REŞADİYELİ VELİ OĞLU MEMET'İN HİKÂYESİ 
«Bu hamiyetli ve cesur, Manastırlı Hamdi Efendi olmasaydı, İstanbul felâketinden kim bilir haber almak için ne kadar intizarlar içinde kalacaktık. İstanbul'da bulunan nâzır, mebus, kumandan, teşkilâtımız mensupları içinden bir zat çıkıp vaktiyle bize haber vermeği düşünmemiş olduğu anlaşılıyor. Demek ki cümlesini heyecan ve helecan kaplamıştı. Bir ucu Ankara'da bulunan telin İstanbul'da bulunan ucuna yanaşamayacak kadar şaşkın bir hale gelmiş olduklarına bilmem ki hükmetmek caiz olur mu? » 
(Nutuk, s. 295, Devlet Basımevi, İstanbul 1938)  
920'nin 16 Martı. 
Öğleden evvel 
saat onda 
makina başında şöyle bir telgraf aldı Ankara'daki: 
«Der-aliye 16/3/1920. 
İngilizler bastı bu sabah 
Şehzadebaşı'ndaki Muzika karakolunu. 
Müsademe edildi. 
İşgal altına alıyorlar İstanbul'u şimdi. 
Berâyi malûmat arzolunur. 
Manastırlı Hamdi.» 
920'nin 16 Martı. 
Harbiye Nezareti telgrafhanesi buldu Ankara'yı: 
«Etrafta dolaşıyor İngiliz askerleri. 
Şimdi i....................",275
Açsam Rüzgara,Orhan Veli Kanık,"Ne hoş, ey güzel Tanrım, ne hoş
Magillerde sefer etmek! 
Bir sahilden çözülüp gitmek
Düşünceler gibi başıboş.
Açsam rüzgara yelkenimi; 
Dolaşsam ben de deniz
Ve bir sabah vakti, kimsesiz
Bir limanda bulsam kendimi.
Bir limanda, büyük ve beyaza.
Mercan adalarda bir limana.
Beyaz bulutların ardından
Gelse altın ışıklı bir yaz.
Doldursa içimi orada
Baygın kokusu iğdelerin.
Bilmese tadını kederin
Bu her alemden uzak ada.
Konsa rüya dolu köşkümün
Çiçekli dalına serçeler.
Renklerle çözülse geceler,
Nar bahçelerinde geçse gün.
Her gün aheste mavnaların
Görsem açıktan geçişini
Ve her aksam dizilisini
Ufukta mermer adaların.
Ne hoş. ey Tanrım, ne hoş! 
İller, göller, kıtalar asmak.
Ne hoş deniz dolaşmak
Düşünceler gibi başıboş.
Versem kendimi bütün
Bir yelkenli olup engine; 
Kansam bir an güzelliğine
Kuşlar gibi serseri ömrün.",276
Buluşmak Üzere,Can Yücel,"Diyelim yağmura tutuldun bir gün
Bardaktan boşanırcasına yağıyor mübarek
Öbür yanda güneş kendi keyfinde
Ne de olsa yaz yağmuru
Pırıl pırıl düşüyor damlalar
Eteklerin uça uça bir koşudur kopardın
Dar attın kendini karşı evin sundurmasına
İşte o evin kapısında bulacaksın beni
Diyelim için çekti bir sabah vakti
Erkenceden denize gireyim dedin
Kulaç attıkça sen
Patiska çarşaflar gibi yırtılıyor su ortadan
Ege denizi bu efendi deniz
Seslenmiyor
Derken bi de dibe dalayım diyorsun
İçine doğdu belki de
İşte çil çil koşuşan balıklar
Lapinalar gümüşler var ya
Eylim eylim salınan yosunlar
Onların arasında bulacaksın beni
Diyelim sapına kadar şair bir herif çıkmış ortaya
Çakmak çakmak gözleri
Meydan ya Taksim ya Beyazıt meydanı
Herkes orda sen de ordasın
Herif bizden söz ediyor bu ülkenin çocuklarından
Yürüyelim arkadaşlar diyor yürüyelim
Özgürlüğe mutluluğa doğru
Her işin başında sevgi diyor
Gözlerin yağmurdan sonra yaprakların yeşili
Bi de başını çeviriyorsun ki
Yanında ben varım",277
Alışamadım,Cemal Safi,"Sen geçtin yine ben sınıfta kaldım; 
Bir türlü yanına ulşamadım.
Sevda sınavından teşekkür aldım; 
İhanet dersine çalışamadım...
Gözlerim kapansa uykusuzluktan, 
Korkarım hocama saygısızlıktan, 
Bir örnek istedi duygusuzluktan; 
Seni diyecektim konuşamadım...
Vefasız olmayı bilmedim diye, 
Adını kalbimden silmedim diye, 
Okuldan atıldım gülmedim diye; 
Tebessüm etmeye alışamadım...",278
Leylim Leylim,Ahmed Arif,"Leylim - leylim dünyamızın yarısı
Al - yeşil bahar,
Yarısı kar olanda
Gene kavim - kardaş, can - cana düşman,
Gene yediboğum akrep,
Sarı engerek,
Alnımızın aklığında puşt işi zulüm
Ve canım yarı geceler
Çift kanat kapılarına karşı darağaçları,      
Mahpusanede çeşme
Yandan akar olanda,
Gelmiş yoklamış ecel
Kaburgam arasından.
Yoklasın hele...
Çağıdır, can dayanmaz,
Çağıdır, en çatal, en ası,
Cehennem koncası memelerinin.
Çağıdır, kırk gün - kırk gece....................",279
"Bu Zindan, Bu Kırgın, Bu Can Pazarı",Ahmed Arif,"Gördüler
Yedi cihan,
İn, cin, Kaf dağının ardındakiler,
Kıtlık da kıran da olsa
Gördüler analar neler doğurur
Aman aman hey...
Dünyalar vardır elvan,
Bir su damlasında, bir kıl ucunda,
Meyvalar vardır, meyvalar,
Ağacı, omcası yok,
Sana vurgun, sana dost.
Beride Kabil'in murdar baltası
Ve kan değirmenleri,
Kader kahpesi.
Beride borazancıları o puşt ölümün,
Hazır ırzını vermeğe
Yiğitler vuruldukça.
Timsah kısmı çünkü yavrusunu yer
Akarsu duruldukça.
Cadı, yalan hamurunu dağ - dağ yoğurur
Aman aman hey
Bu ....................",280
Veda,Necip Fazıl Kısakürek,"Elimde, sükutun nabzını dinle,
Dinle de gönlümü alıver gitsin!
Saçlarımdan tutup, kor gözlerinle,
Yaşlı gözlerime dalıver gitsin!
Yürü, gölgen seni uğurlamakta,
Küçülüp küçülüp kaybol ırakta
Yolu tam dönerken arkana bak da,
Köşede bir lahza kalıver gitsin!
Ümidim yılların seline düştü,
Saçının en titrek teline düştü,
Kuru yaprak gibi eline düştü,
İstersen rüzgara salıver gitsin!
                                       (1923)",281
Ceviz Ağacı,Nazım Hikmet Ran,"Başım köpük köpük bulut, içim dışım deniz, 
ben bir ceviz ağacıyım Gülhane Parkı'nda, 
budak budak, şerham şerham ihtiyar bir ceviz. 
Ne sen bunun farkındasın, ne polis farkında. 
Ben bir ceviz ağacı....................",282
Uy Havar!,Ahmed Arif,"Yangınlar,
Kahpe fakları,
Korku çığları
Ve irin selleri, aç yırtıcılar,
Suyu zehir bıçaklar ortasındasın.
Bir cana, bir başa kalmışsın vay vay! 
Pusatsız, duldasız, üryan
Bir cana bir de başa
Seher vakti leylim - leylim
Cellat nişangahlar aynasındasın.
Oy sevmişem ben seni...
Üsküdardan bu yan lo kimin yurdu! 
He canım...
Çiçekdağı kıtlık, kıran,
Gül açmaz, çağla dökmez.
Vurur alnım şakına
Vurur çakmaktaşı....................",283
Aşkın Aldı Benden Beni,Yunus Emre,"Aşkın aldı benden beni 
Bana seni gerek seni 
Ben yanarım dün ü günü 
Bana seni gerek seni
Ne varlığa sevinirim 
Ne yokluğa yerinirim 
Aşkın ile avunurum 
Bana seni gerek seni 
Aşkın aşıklar oldurur
Aşk denizine daldırır
Tecelli ile doldurur
Bana seni gerek seni
Aşkın şarabından içem
Mecnun olup dağa düşem
Sensin dünü gün endişem
Bana seni gerek seni
Sufilere sohbet gerek
Ahilere ahret gerek
Mecnunlara Leyla gerek
Bana seni gerek seni
Eğer beni öldüreler 
Külüm göğe savuralar 
Toprağım anda çağıra 
Bana seni gerek seni
Cennet cennet dedikleri 
Birkaç köşkle birkaç huri 
İsteyene Ver anları
Bana seni gerek seni 
Yunus'dürür benim adım 
Gün geçtikçe artar odum 
İki cihanda maksudum 
Bana seni gerek seni",284
Beni Candan Usandırdı,Fuzuli,"Beni candan usandırdı cefâdan yâr usanmaz mı
Felekler yandı âhımdan murâdım şem'i yanmaz mı
Kamu bîmârına cânân deva-yı derd eder ihsan
Niçün kılmaz bana derman beni bîmar sanmaz mı
Şeb-i hicran yanar cânım döker kan çeşm-i giryânım
Uyarır halkı efgânım kara bahtım uyanmaz mı
Gûl-i ruhsârına karşu gözümden kanlu akar su
Habîbim fasl-ı güldür bu akar sular bulanmaz mı
Gâmım pinhan tutardım ben dedîler yâre kıl rûşen
Desem ol bî-vefâ bilmem inanır mı inanmaz mı
Değildim ben sana mâil sen ettin aklımı zâil
Beni tan eyleyen gafîl seni görgeç utanmaz mı
Fuzûlî rind-i şeydâdır hemîşe halka rüsvâdır
Sorun kim bu ne sevdâdır bu sevdâdan usanmaz mı",285
Bülbül,Mehmet Akif Ersoy,"— Basri Bey oğlumuza —
Bütün dünyâya küskündüm, dün akşam pek bunalmıştım; 
Nihâyet, bir zaman kırlarda gezmiş, köyde kalmıştım.
Şehirden kaçmak isterken sular zâten kararmıştı; 
Pek ıssız bir karanlık sonradan vâdîyi sarmıştı.
Işık yok, yolcu yok, ses yok, bütün hilkat kesilmiş lâl...
Bu istiğrâkı tek bir nefha olsun etmiyor ihlâl.
Muhîtin hâli «insâniyyet»in timsâlidir, sandım; 
Dönüp mâzîye tırmandım, ne hicranlar, neler andım! 
Taşarken haşrolup beynimden artık bin müselsel yâd,
Zalâmın sînesinden fışkıran memdûd bir feryâd,
O müstağrak, o durgun vecdi nâgâh öyle coşturdu:
Ki vâdîden bütün, yer yer, eninler çağlayıp durdu.
Ne muhrik nağmeler, yâ Rab, ne mevcâmevc demlerdi:
Ağaçlar, taşlar ürpermişti, gûyâ Sûr-i Mahşer’di! 
— Eşin var, âşiyânın var, bahârın var, ki beklerdin; 
Kıyâmetler koparmak neydi, ey bülbül, nedir derdin? 
O zümrüd tahta kondun, bir semâvî saltanat kurdun; 
Cihânın yurdu hep çiğnense, çiğnenmez senin yurdun.
Bugün bir yemyeşil vâdî, yarın bir kıpkızıl gülşen,
Gezersin, hânümânın şen, için şen, kâinâtın şen.
Hazansız bir zemîn isterse, şâyed rûh-i ser-bâzın,
Ufuklar, bu’d-i mutlaklar bütün mahkûm-i pervâzın.
Değil bir kayda, sığmazsın -kanatlandın mı- eb’âda; 
Hayâtın en muhayyel gâyedir ahrâra dünyâda.
Neden öyleyse mâtemlerle eyyâmın perîşandır? 
Niçin bir damlacık göğsünde bir umman hurûşandır? 
Hayır, mâtem senin hakkın değil... Mâtem benim hakkım:
Asırlar var ki, aydınlık nedir, hiç bilmez âfâkım! 
Tesellîden nasîbim yok, hazân ağlar bahârımda; 
Bugün bir hânümansız serserîyim öz diyârımda! 
Ne hüsrandır ki: Şark’ın ben vefâsız, kansız evlâdı,
Serâpâ Garb’a çiğnettim de çıktım hâk-i ecdâdı! 
Hayâlimden geçerken şimdi, fikrim hercümerc oldu,
Salâhaddîn-i Eyyûbî’lerin, Fâtih’lerin yurdu.
Ne zillettir ki: Nâkùs inlesin beyninde Osmân’ın; 
Ezan sussun, fezâlardan silinsin yâdı Mevlâ’nın! 
Ne hicrandır ki: En şevketli bir mâzî serâb olsun; 
O kudretler, o satvetler harâb olsun, türâb olsun! 
Çökük bir kubbe kalsın ma’bedinden Yıldırım Hân’ın; 
Şenâ’atlerle çiğnensin muazzam kabri Orhan’ın! 
Ne haybettir ki: Vahdet-gâhı dînin devrilip, taş taş,
Sürünsün şimdi milyonlarca me’vâsız kalan dindaş! 
Yıkılmış hânümanlar yerde işkenceyle kıvransın; 
Serilmiş gövdeler, binlerce, yüzbinlerce doğransın! 
Dolaşsın, sonra, İslâm’ın harem-gâhında nâ-mahrem...
Benim hakkım, sus ey bülbül, senin hakkın değil mâtem! 
Ankara – Tâceddin Dergâhı
7 Mayıs 1337 (1921)",286
Kalbim Dinamit Kuyusu,Ahmed Arif,"Kalbim dinamit kuyusu
Şafakları; 
Taaa şafakları 
Nice bir 
Yangınları düşer alın çatıma 
Gencecik ölüme gitmenin. 
Yığılır boşkovanlar, dumanlı 
Ve susar mitralyözler kuytularda. 
Suskundur, 
Karanlıktır, 
Kayıtsızdır, 
Her namlu. 
Beni kurşunlar götürür 
Kollarım vurulu 
Gözlerim açık. 
Şafakları, 
Taaa şafakları, 
Kınalı tavşanlar suya inmeden, 
İlk çığlıklarındayken martılar, 
Kamplarda idamcılar 
Azgın ve manyak 
Tan yerinde kızartılar... 
Tan yerinde kızartılar 
Hey canım, 
Orada, 
Sularla 
Sınırlarla 
Uzaklar uzağında 
Ve benim şuncağızımda hemencecik 
Göğüs kafesimin altında, solda, 
Barajlar, yeşeren çöller, 
Katarlar, traktörler, 
Yani her vidasynda bin sevda, 
Her civatasında bin saygı, 
Bin ustalıkla, 
İşlenen ve yaratılan dünyaların kımıldanışı 
Ve hayatı pırıl pırıl çarktan çıkaranla....................",287
Bir Akşam Üstüdür,Ahmed Arif,"Bir akşam üstüdür şarabî 
Bahçeler ve dağlar üzre hükümran; 
Tam dünyayı dolaşmak saatindesin. 
Ay ışığı su içer birazdan. 
Kızarmış kalçalarını çanlar 
Alabildiğine vurur. 
Sen çocuk tulumunda 
Matb....................",288
Aşk Hikayesi,Abdurrahim Karakoç,"Başımdan bir kova sevda döküldü
Islanmadım, üşümedim, yandım oy! 
İplik iplik damarlarım söküldü
Kurşun yemiş güvercine döndüm oy! 
Yağmur yorgan oldu, döşek kar bana
Anladım ki kendi gönlüm dar bana
Alev dolu bardakları yâr bana
Sunuverdi içtim içtim kandım oy! 
Sevgi ektim, naz biçmeye çalıştım
Ne zamana, ne kendime alıştım
Kırk senede yedi hasret bölüştüm
Yedi dünya bana düştü sandım oy! 
Gönül şahinimi yordum gerçeğe
Sonsuzda yüzümü sürdüm gerçeğe
Teselliden kanat kırdım gerçeğe
Tecellinin sinesine kondum oy! 
(Yasaklı Rüyalar)",289
Anmak Unutmak,Özdemir Asaf,"ANMAK UNUTMAK
İki tür nokta var
Biri önüne ve ardına bakar, 
Biri ardına bakmaz, 
Ardını noktalar.",290
Bilsen,Cemal Safi,"Kırdığın kadehte kalan ömrümden,
Ağlarsın içtiğin yılları bilsen.
Sayende sararıp solan ömrümden,
Ağlarsın biçtiğin dalları bilsen.
Bağban eyle dedin beni bağrına,
Yanılıp yakılıp uydum çağrına,
Bir demet hercai çiçek uğruna,
Ağlarsın kırdığın gülleri bilsen.
Ateşe su dedim göz göre göre,
Aklım zavallıydı duyguma göre,
Bahtına şükretti mecnun bin kere,
Ağlarsın düştüğüm çölleri bilsen.
Ar ettim sakladım uğraşlarımı,
Haberdar etmedim sırdaşlarımı,
Gizlemek isterken gözyaşlarımı,
Ağlarsın seçtiğim yolları bilsen.
Sefiller gücünü bende sınadı,
Kimi kaçık dedi, kimi bunadı.
Berduş eleştirdi ,sarhoş kınadı,
Ağlarsın düştüğüm dilleri bilsen.
Felsefe böyledir divanelerde,
Teselli aranır bahanelerde,
Bir kadeh mey için meyhanelerde,
Ağlarsın düştüğüm halleri bilsen.",291
Suskun,Ahmed Arif,"Sus, kimseler duymasın.
Duymasın ölürüm ha.
Aydım yarı gecede
Yeşil bir yağmur sonra...
Yağıyor yeşil.
En uzak, o adsız ve kimselersiz,
O yitik yıldızda duyuyor musun? 
Bir Stradivarius inler kendi kendine,
Yayı, reçinesi, köprüsü yeşil.
Önce bendim diyor ve sonra benim...
Ölümsüz, güzel ve çetin.
Ezgisidir dolaşan bütün evreni,
Bilinen, bilinmeyen ıssızlıkları.
Canımı, tüylerimi sarmada şimdi
Kendi rüzgarıyla vurgun...
Sarıyor yeşil.
Rüya, bütün çektiğimiz.
Rüya kahrım, rüya zindan.
Nasıl da yılları buldu,
Bir mısra boyu maceram...
Bilmezler nasıl aradık birbirimizi,
Bilme....................",292
Hoş Geldin Kadınım,Nazım Hikmet Ran,"Hoş geldin kadınım benim hoş geldin 
yorulmuşsundur; 
nasıl etsemde yıkasam ayacıklarını
ne gül suyum ne gümüş legenim var, 
susamışsındır; 
buzlu şerbetim yok ki....................",293
Anlam,Özdemir Asaf,"Sen bana
Sen desen de, demesen de olur.
Ama ben sana sen deyeceğim.
Düşün dur.",294
